,name,equation_type,sector,definition,description,standard_equation_eviews_equation,standard_equation_python_equation,standard_equation_rhs_eq_var,exogenous_projection,standard_equation_coeff_cf_name,standard_equation_coeff_cf_value,kfcalc,stochastic_type,standard_equation_coeff_t_stat,standard_equation_estimation_statistics_adjusted_r_squared,standard_equation_estimation_statistics_date,standard_equation_estimation_statistics_durbin_watson,standard_equation_estimation_statistics_method,standard_equation_estimation_statistics_r_squared,standard_equation_estimation_statistics_sample_end,standard_equation_estimation_statistics_sample_start,standard_equation_estimation_statistics_se_of_regression,standard_equation_estimation_statistics_F_statistic,standard_equation_estimation_statistics_prob_F_statistic,standard_equation_estimation_statistics_estimation_date,standard_equation_coeff_distributed_lag_group,standard_equation_estimation_statistics,mce_equation_mce_group,mce_equation_mce_description,mce_equation_eviews_equation,mce_equation_python_equation,mce_equation_coeff_cf_name,mce_equation_coeff_cf_value,mce_equation_rhs_eq_var
133,lep,Identity,Labor Market,Employment in  business sector (employee and  self-employed),"Employment in the business sector equals aggregate
hours divided by the average workweek.

",lep - lep_aerr = lhp / lww ,lep - lep_aerr = lhp / lww ,"['lhp', 'lww']",,,,,,,,,,,,,,,,,,,,,,,,,,
134,leppot,Identity,Labor Market,Potential employment in  business sector,"The trend level of employment in the business sector
consists of potential economy-wide employment less trend employment in
other sectors.  Potential economy-wide employment equals the product
of the trend labor force (QLF) and the proportion of the labor force
employed in equilibrium (1.0 minus the natural rate of unemployment,
LURNAT).  Trend employment in sectors other than business
consists of trend government employment (LEST + LEFT) and trend
""other"" employment (QLEOR * QLF).
",leppot - leppot_aerr = (qlf*(1-.01*lurnat - qleor))/(1+adjlegrt) ,leppot - leppot_aerr = (qlf*(1-.01*lurnat - qleor))/(1+adjlegrt) ,"['adjlegrt', 'lurnat', 'qleor', 'qlf']",,,,,,,,,,,,,,,,,,,,,,,,,,
135,leuc,Exogenous,,Emergency unemployment compensation (EUC),,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
136,lf,Identity,Labor Market,Civilian labor force (break adjusted),,lf - lf_aerr = lfpr * n16 ,lf - lf_aerr = lfpr * n16 ,"['lfpr', 'n16']",,,,,,,,,,,,,,,,,,,,,,,,,,
137,lfpr,Behavioral,Labor Market,Labor force participation rate,"In the long run, the participation rate moves at its trend first
difference (HQLFPR).  In the short run, the participation rate error
corrects at a 45 percent rate to the lagged deviation of its level
from its trend level (QLFPR).  QLFPR is modeled as a random walk with
time-varying drift.  Cyclical variation in the participation rate is
captured by including the gap between the unemployment rate and its
natural rate (LURNAT), which is lagged to avoid coefficient bias that
might arise from measurement error that is common to LUR and LFPR.
","d(lfpr)-hqlfpr  - lfpr_aerr =
           y_lfpr(1)*(qlfpr(-1)-lfpr(-1))
          + y_lfpr(2)*(lur(-1)-lurnat(-1))","(lfpr - (lfpr(-1)))-hqlfpr  - lfpr_aerr =
           y_lfpr_1*(qlfpr(-1)-lfpr(-1))
          + y_lfpr_2*(lur(-1)-lurnat(-1))","['lfpr', 'lur', 'lurnat', 'qlfpr']",,"['y_lfpr(1)', 'y_lfpr(2)']","['0.5676074828293328', '-0.0008751892020969236']",,LB,"['10.43880510602398', '-9.063087467005178']",0.3351540036058511,08/30/18   Time: 10:02 ,1.957962129545313,Least Squares,0.3382178100408473,2017Q4,1963Q3,0.001231338397034172,,,,,,,,,,,,
138,lhp,Behavioral,Labor Market,"Aggregate labor hours,  business sector (employee and  self-employed)","Firms attempt to keep aggregate hours in line with the expected
level of production adjusted for the trend level of labor
productivity.  This definition of the target level of hours is
embedded in a version of the polynomial adjustment cost framework that
is modified to allow some portion of labor hours to adjust costlessly.
The portion of the equation that corresponds to the costly adjusting
hours consists of the three conventional PAC terms -- the degree hours
were out of equilibrium last period, lagged hours growth, and expected
growth in target hours.  The structure of the PAC component of the
equation is outlined below in Note 1.  To translate the general PAC
specification into the form in which it appears in the LHP equation,
associate log(LHP) with y, log(QLHP) with y*, and
ZLHP with the expected weighted sum of future &Delta;y*.  The order of
adjustment costs (m) is 2.

The portion of hours that adjusts costlessly is captured by the
current growth in target hours (the growth rate of XBO less the trend
growth rate of output per hour, HLPRDT).  The coefficient on the
latter indicates that more than 40 percent of hours adjust costlessly
and a bit less than 60 percent of hours adjust according to the PAC
specification.  The aggregation of slow-adjusting and fast-adjusting
hours is outlined below in Note 2.

<b>Note 1:</b> PAC Overview: Let y denote the decision variable and
y* its desired level in the absence of adjustment frictions.  The
decision rule derived from the PAC Euler equation has the following
form.

&nbsp&nbsp&nbsp &Delta;y<sub>t</sub><sup>pac</sup> = a<sub>0</sub>(y*<sub>t-1</sub> -
      y<sub>t-1</sub>) + &sum;<sub>i=1,m-1</sub>
      a<sub>i</sub>&Delta;y<sub>t-i</sub> +
      E<sub>t-1</sub>&sum;<sub>i=0,&infin;</sub>d<sub>i</sub>&Delta;y*<sub>t+i</sub>

 The order of adjustment costs is given by parameter m.  The
forward weights, d<sub>i</sub> {i=0,&infin;}, are functions of the
estimated values of a<sub>i</sub> {i=0,m-1} and a fixed discount
factor (0.98).  Estimation imposes the growth neutrality restriction
&sum;<sub>i=1,m-1</sub>a<sub>i</sub> +
&sum;<sub>i=0,&infin;</sub>d<sub>i</sub> = 1.  For more information,
see <a href=""pac_basics.pdf"">PAC Basics</a>.

<b>Note 2:</b> To describe the aggregation of slow-adjusting PAC
hours and fast-adjusting hours, let h and q be the logs of total hours
and target hours, and z be the weighted sum of expected growth of
target hours.  Subscripts denote slow-adjusting (""1"") and
fast-adjusting (""2"") components.  Assume the shares of the two types
of hours are approximately constant.  Write

<br>&nbsp&nbsp&nbsp   &Delta;h<sub>t</sub> = c*&Delta;h<sub>1</sub><sub>t</sub> + (1-c)*&Delta;h<sub>2</sub><sub>t</sub>
<br>&nbsp&nbsp&nbsp   &Delta;h<sub>1</sub><sub>t</sub> = a<sub>0</sub>(q<sub>1</sub>-h<sub>1</sub>)<sub>t-1</sub> + a<sub>1</sub>*&Delta;h<sub>1,t-1</sub> + zh<sub>1t</sub>
<br>&nbsp&nbsp&nbsp   &Delta;h<sub>2t</sub> = &Delta;q<sub>2t</sub> = &Delta;q<sub>t</sub>

By assumption, the total hours gap (q-h) is concentrated in the
slow adjusting hours, which leads to the final equation in the following steps

<br>&nbsp&nbsp&nbsp   (q<sub>1t</sub>-h<sub>1t</sub>) = (q<sub>t</sub>-h<sub>t</sub>)/c
<br>&nbsp&nbsp&nbsp   &Delta;h<sub>1t</sub> = (&Delta;h<sub>t</sub> - (1-c)*&Delta;q<sub>t</sub>)/c
<br>&nbsp&nbsp&nbsp   &Delta;h<sub>1</sub><sub>t</sub> = a<sub>0</sub>*(q-h)<sub>t-1</sub>/c + a<sub>1</sub>*(&Delta;h<sub>t-1</sub> - (1-c)&Delta;q<sub>t-1</sub>)/c + zh<sub>1t</sub>
<br>&nbsp&nbsp&nbsp   &Delta;h<sub>t</sub> = a<sub>0</sub>*(q-h)<sub>t-1</sub> + a<sub>1</sub>*&Delta;h<sub>t-1</sub> + c*zh<sub>t</sub> + (1-c)*&Delta;q<sub>t</sub> + a<sub>1</sub>*(1-c)*&Delta;q<sub>t-1</sub>

The final form of the equation assumes zh = zh<sub>1</sub>.
","dlog(lhp)  - lhp_aerr =
           y_lhp(1) * (log(qlhp(-1)/lhp(-1)))
          + y_lhp(2) * dlog(lhp(-1))
          + y_lhp(3) * zlhp
          + y_lhp(4) * (dlog(xbo) - hlprdt(-1)/400 )
          + y_lhp(5) * (dlog(xbo(-1)) - hlprdt(-2)/400)","(log(lhp) - log(lhp(-1)))  - lhp_aerr =
           y_lhp_1 * (log(qlhp(-1)/lhp(-1)))
          + y_lhp_2 * (log(lhp(-1)) - log(lhp(-2)))
          + y_lhp_3 * zlhp
          + y_lhp_4 * ((log(xbo) - log(xbo(-1))) - hlprdt(-1)/400 )
          + y_lhp_5 * ((log(xbo(-1)) - log(xbo(-2))) - hlprdt(-2)/400)","['hlprdt', 'lhp', 'qlhp', 'xbo', 'zlhp']",,"['y_lhp(1)', 'y_lhp(2)', 'y_lhp(3)', 'y_lhp(4)', 'y_lhp(5)']","['0.2022897898011354', '0.2028806748568088', '0.3720641848854363', '0.6279358151145638', '-0.127396041937203']",,LB,"['7.259064432449588', '3.393905820484788', '10.35220238834869']",0.7997430562973022,08/30/18   Time: 10:03 ,1.970798850059509,Iterative Least Squares,0.8016412258148194,2017Q4,1965Q1,0.003538197604939341,,,,,,,,,,,,
139,lprdt,Identity,Labor Market,Trend labor productivity,"Trend labor productivity in the adjusted business sector is
the ratio of potential output in that sector to trend total hours.
The latter is the product of potential employment (LEPPOT) and the trend
in hours per worker (QLWW).

",log(lprdt) - lprdt_aerr  = log(xbt) - log(leppot) - log(qlww) ,log(lprdt) - lprdt_aerr  = log(xbt) - log(leppot) - log(qlww) ,"['leppot', 'qlww', 'xbt']",,,,,,,,,,,,,,,,,,,,,,,,,,
140,lqualt,Exogenous,,"Labor quality, trend level",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
141,lur,Behavioral,Labor Market,Civilian unemployment rate (break adjusted),,lur - lur_aerr = 100*(1 - leh/lf) ,lur - lur_aerr = 100*(1 - leh/lf) ,"['leh', 'lf']",,,,,,,,,,,,,,,,,,,,,,,,,,
142,lurnat,Behavioral,Labor Market,Natural rate of unemployment," The natural rate of unemployment follows a random walk with zero drift.

",lurnat - lurnat_aerr = lurnat(-1) ,lurnat - lurnat_aerr = lurnat(-1) ,lurnat,,,,,LB,,,,,,,,,,,,,,,,,,,,,
143,lurtrsh,Exogenous,,Unemployment threshold,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
144,lww,Behavioral,Labor Market,"Workweek,  business sector (employee and self-employed)","In the long run, the workweek grows as its trend rate (HQLWW).  In
the short run, the workweek error corrects at nearly a 20 percent rate
to the lagged deviation of its level from its trend level (QLWW).
QLWW is modeled as a random walk with drift.  About 30 percent of the
contemporaneous deviation of the rate of growth of total hours from
its trend shows up as a change in the workweek (and thus about 70
percent shows up as a change in employment).

","dlog(lww)-hqlww/400  - lww_aerr =
           y_lww(1)*log(qlww(-1)/lww(-1))
          + y_lww(2)*(dlog(lhp)-(hlept+hqlww)/400)","(log(lww) - log(lww(-1)))-hqlww/400  - lww_aerr =
           y_lww_1*log(qlww(-1)/lww(-1))
          + y_lww_2*((log(lhp) - log(lhp(-1)))-(hlept+hqlww)/400)","['hlept', 'hqlww', 'lhp', 'lww', 'qlww']",,"['y_lww(1)', 'y_lww(2)']","['0.195710350653204', '0.3184816471961936']",,LB,"['10.66506989979301', '19.41865174072189']",0.6547090231380972,08/30/18   Time: 10:02 ,1.892277522064893,Least Squares,0.656300225796447,2017Q4,1963Q3,0.001811376258859421,,,,,,,,,,,,
145,mei,Behavioral,Financial Sector,Multiplicative discrepancy for the difference between XGDI and XGDO,,log(mei) - mei_aerr = y_mei(1) * log(mei(-1)) ,log(mei) - mei_aerr = y_mei_1 * log(mei(-1)) ,mei,,y_mei(1),1.00,,,,,,,,,,,,,,,,,,,,,,,
146,mep,Behavioral,Financial Sector,Multiplicative discrepancy for the difference between XGDP and XGDO,,log(mep) - mep_aerr = y_mep(1) * log(mep(-1)) ,log(mep) - mep_aerr = y_mep_1 * log(mep(-1)) ,mep,,y_mep(1),1.00,,,,,,,,,,,,,,,,,,,,,,,
147,mfpt,Behavioral,Aggregate Output Identities,"Multifactor productivity, trend level",,log(mfpt) - mfpt_aerr = y_mfpt(1) + log(mfpt(-1)) + hmfpt/400 ,log(mfpt) - mfpt_aerr = y_mfpt_1 + log(mfpt(-1)) + hmfpt/400 ,"['hmfpt', 'mfpt']",,y_mfpt(1),0.0,,ST,,,,,,,,,,,,,,,,,,,,,
148,n16,Exogenous,,"Noninstitutional population, aged 16 and over (break adjusted)",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
149,pbfir,Behavioral,Wages and Prices,Price level of BFI compared to PXP,,"log(pbfir) - pbfir_aerr =  log(pbfir(-1)) + pipxnc/400 + dpadj - d(log(pxp), 0, 1)",log(pbfir) - pbfir_aerr =  log(pbfir(-1)) + pipxnc/400 + dpadj - (log(pxp) - (log(pxp(-1)))),"['dpadj', 'pbfir', 'pipxnc', 'pxp']",,,,1,OT,,,,,,,,,,,,,,,,,,,,,
150,pcdr,Behavioral,Wages and Prices,"Price index for consumer durables, cw (relative to to PCNIA)","The growth rate of the relative (to PCNIA) price of consumer durable
goods (PCDR) is assumed to follow a first order autoregressive process.
","d(log(pcdr))  - pcdr_aerr =
           y_pcdr(1)
          + y_pcdr(2)*d(log(pcdr(-1)))","(log(pcdr) - (log(pcdr(-1))))  - pcdr_aerr =
           y_pcdr_1
          + y_pcdr_2*(log(pcdr(-1)) - (log(pcdr(-2))))",pcdr,,"['y_pcdr(1)', 'y_pcdr(2)']","['-0.003334518696912942', '0.5098481943420772']",,,"['-6.21336908480081', '8.124650601186599']",0.2549310254614942,08/30/18   Time: 10:03 ,1.995150313594502,Least Squares,0.2588524411169599,2017Q4,1970Q2,0.004525354347700505,66.00994739136145,5.705791043811285e-14,,,,,,,,,,
151,pcer,Behavioral,Wages and Prices,Price index for personal consumption expenditures on energy (relative to PCXFE),"The growth rate of the consumer energy prices (relative to PXCFE) are
assumed to be a fraction of that of oil imports (relative to PCXFE, as well).
","d( log(pcer), 0, 1 )  - pcer_aerr =
           y_pcer(1) * d(log(pmp/pcxfe))","( log(pcer) - ( log(pcer(-1))))  - pcer_aerr =
           y_pcer_1 * (log(pmp/pcxfe) - (log(pmp(-1)/pcxfe(-1))))","['pcxfe', 'pmp']",,y_pcer(1),0.2488609533651416,0,PR,19.3687417670298,0.6390264852519756,08/30/18   Time: 10:01 ,1.958877559688213,Least Squares (Gauss-Newton / Marquardt steps),0.6390264852519756,2017Q4,1965Q1,0.02491917225605605,,,,,,,,,,,,
152,pcfr,Behavioral,Wages and Prices,Price index for personal consumption expenditures on food (relative to PCXFE),"Growth in relative consumer food prices is modeled using a
simple error-correction specification, where the level of prices
in the long run is equal to an estimated trend, PCFRT, defined
historically by H-P filtering the observed series.

","d( log(pcfr), 0, 1 )   - pcfr_aerr =
           y_pcfr(1) * log(pcfr(-1)/pcfrt(-1))
          + y_pcfr(2)
          + y_pcfr(3) *  d( log(pcfr(-1)), 0, 1 )
          + y_pcfr(4) *  d( log(pcfr(-2)), 0, 1 )
          + y_pcfr(5) *  d( log(pcfr(-3)), 0, 1 )
          + y_pcfr(6) * d( log(pcfrt), 0, 1 )","( log(pcfr) - ( log(pcfr(-1))))   - pcfr_aerr =
           y_pcfr_1 * log(pcfr(-1)/pcfrt(-1))
          + y_pcfr_2
          + y_pcfr_3 *  ( log(pcfr(-1)) - ( log(pcfr(-2))))
          + y_pcfr_4 *  ( log(pcfr(-2)) - ( log(pcfr(-3))))
          + y_pcfr_5 *  ( log(pcfr(-3)) - ( log(pcfr(-4))))
          + y_pcfr_6 * ( log(pcfrt) - ( log(pcfrt(-1))))","['pcfr', 'pcfrt']",,"['y_pcfr(1)', 'y_pcfr(2)', 'y_pcfr(3)', 'y_pcfr(4)', 'y_pcfr(5)', 'y_pcfr(6)']","['-0.1753151166404203', '-5.59454305651988e-05', '0.3855084844618753', '0.02031018771733943', '0.3388841893424357', '0.3176985579727371']",1,PR,"['-6.407515202419682', '-0.1190835368445417', '6.133218161450598', '0.3014709078795031', '5.12176446254809', '1.313157636299621']",0.3680084500676164,08/30/18   Time: 10:01 ,1.964597509430065,Least Squares (Gauss-Newton / Marquardt steps),0.3829845531465829,2017Q4,1965Q1,0.006836630019194702,25.57304467839001,4.884156780608893e-20,,"['1', '1', '1']",,,,,,,,
153,pcfrt,Exogenous,,"Real PCE price of food, trend",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
154,pchr,Behavioral,Wages and Prices,"Price index for housing services, cw (relative to to PCNIA)","The growth rate of the relative (to PCNIA) price of housing services
(PCHR) is assumed to follow a first order autoregressive process.
","d(log(pchr))  - pchr_aerr =
           y_pchr(1)
          + y_pchr(2)*d(log(pchr(-1)))","(log(pchr) - (log(pchr(-1))))  - pchr_aerr =
           y_pchr_1
          + y_pchr_2*(log(pchr(-1)) - (log(pchr(-2))))",pchr,,"['y_pchr(1)', 'y_pchr(2)']","['0.0006138065838894166', '0.5980639856669541']",,,"['1.897791205363502', '10.26601235956948']",0.3545998563254845,08/30/18   Time: 10:03 ,1.989191197272333,Least Squares,0.3579966991869293,2017Q4,1970Q2,0.004304736918445813,105.3910097668334,6.229873200267816e-20,,,,,,,,,,
155,pcnia,Identity,Wages and Prices,"Price index for personal consumption expenditures, cw (NIPA definition)",,"d( log(pcnia), 0, 1 ) - pcnia_aerr = picnia / 400 ",( log(pcnia) - ( log(pcnia(-1)))) - pcnia_aerr = picnia / 400 ,picnia,,,,,,,,,,,,,,,,,,,,,,,,,,
156,pcor,Behavioral,Wages and Prices,"Price index for non-durable goods and non-housing services, cw (relative to to PCNIA","

The relative price of non-durable goods and non-housing services
(PCOR) is approximated by a fixed-weighted aggregation of its components.

","log(pcor)  - pcor_aerr = log(pcor(-1))
          + y_pcor(1)*log(pcdr/pcdr(-1))
          + y_pcor(2)*log(pchr/pchr(-1))","log(pcor)  - pcor_aerr = log(pcor(-1))
          + y_pcor_1*log(pcdr/pcdr(-1))
          + y_pcor_2*log(pchr/pchr(-1))","['pcdr', 'pchr', 'pcor']",,"['y_pcor(1)', 'y_pcor(2)']","['-0.1436', '-0.217']",,,,0.9999935141056029,08/30/18   Time: 09:59 ,2.164395735868182,Least Squares (Gauss-Newton / Marquardt steps),0.9999951355792022,2017Q4,2016Q4,2.268479028335759e-06,,,,,,,,,,,,
157,pcpi,Identity,Wages and Prices,"Consumer price index,total"," The overall CPI equals the product of the PCE chain-weight
price index and a proportionality factor.  This factor has two
components, one to account for the effect of different weights
on energy in the two price indices, and the other to account
for all other differences.
","pcpi - pcpi_aerr = upcpi * pcnia
	 ","pcpi - pcpi_aerr = upcpi * pcnia
	 ","['pcnia', 'upcpi']",,,,,,,,,,,,,,,,,,,,,,,,,,
158,pcpix,Identity,Wages and Prices,"Consumer price index,excluding food and energy",,pcpix - pcpix_aerr = upcpix * pcxfe ,pcpix - pcpix_aerr = upcpix * pcxfe ,"['pcxfe', 'upcpix']",,,,,,,,,,,,,,,,,,,,,,,,,,
159,pcstar,Exogenous,,Target consumption price level (used in RFFGEN policy rule),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
160,pcxfe,Behavioral,Wages and Prices,"Price index for personal consumption expendits ex. food and energy, cw (NIPA definit","
","d(log(pcxfe), 0, 1) - pcxfe_aerr = picxfe/400 ",(log(pcxfe) - (log(pcxfe(-1)))) - pcxfe_aerr = picxfe/400 ,picxfe,,,,,,,,,,,,,,,,,,,,,,,,,,
161,pegfr,Behavioral,Government,"Price index for federal government expenditures, CW (relative to PXP)",,"log(pegfr) - pegfr_aerr - log(pegfr(-1)) =  pipxnc/400
                                         + dpadj - d(log(pxp))
	 ","log(pegfr) - pegfr_aerr - log(pegfr(-1)) =  pipxnc/400
                                         + dpadj - (log(pxp) - (log(pxp(-1))))
	 ","['dpadj', 'pipxnc', 'pxp']",,,,1,GV,,,,,,,,,,,,,,,,,,,,,
162,pegsr,Behavioral,Government,"Price index for S&L government expenditures, CW (relative to PXP)",,"log(pegsr) - pegsr_aerr =  log(pegsr(-1)) + pipxnc/400
                        + dpadj - d(log(pxp))
	 ","log(pegsr) - pegsr_aerr =  log(pegsr(-1)) + pipxnc/400
                        + dpadj - (log(pxp) - (log(pxp(-1))))
	 ","['dpadj', 'pegsr', 'pipxnc', 'pxp']",,,,1,GV,,,,,,,,,,,,,,,,,,,,,
163,pgdp,Identity,Wages and Prices,"Price index for GDP, cw",,pgdp - pgdp_aerr = 100*xgdpn/xgdp ,pgdp - pgdp_aerr = 100*xgdpn/xgdp ,"['xgdp', 'xgdpn']",,,,,,,,,,,,,,,,,,,,,,,,,,
164,pgfl,Identity,Wages and Prices,"Price index for federal government employee compensation, cw","The price index for federal employee compensation (PGFL) is
proportional to the economy-wide compensation rate (PL).  They are
linked by the exogenous conversion factor UPGFL.

","log(pgfl) - pgfl_aerr = log(upgfl)+log(pl)-log(lprdt)
	 ","log(pgfl) - pgfl_aerr = log(upgfl)+log(pl)-log(lprdt)
	 ","['lprdt', 'pl', 'upgfl']",,,,,,,,,,,,,,,,,,,,,,,,,,
165,pgsl,Identity,Wages and Prices,"Price index for S&L government employee compensation, cw","The price index for federal employee compensation (PGSL) is
proportional to the economy-wide compensation rate (PL).  They are
linked by the exogenous conversion factor UPGSL.
","log(pgsl) - pgsl_aerr = log(upgsl)+log(pl)-log(lprdt)
	 ","log(pgsl) - pgsl_aerr = log(upgsl)+log(pl)-log(lprdt)
	 ","['lprdt', 'pl', 'upgsl']",,,,,,,,,,,,,,,,,,,,,,,,,,
166,phouse,Behavioral,Financial Sector,Loan Performance House Price Index," The price of owner-occupied real estate is modeled in an
error-correction format.  The housing price is proportional
to housing rents (PCHR*PCNIA) in the long run.
","dlog(phouse)  - phouse_aerr =
           y_phouse(1)
          + y_phouse(2)*dlog(phouse(-1))
          + y_phouse(3)*log(phouse(-1)/(pchr(-1)*pcnia(-1)))","(log(phouse) - log(phouse(-1)))  - phouse_aerr =
           y_phouse_1
          + y_phouse_2*(log(phouse(-1)) - log(phouse(-2)))
          + y_phouse_3*log(phouse(-1)/(pchr(-1)*pcnia(-1)))","['pchr', 'pcnia', 'phouse']",,"['y_phouse(1)', 'y_phouse(2)', 'y_phouse(3)']","['0.005158779390135185', '0.9018869955145716', '-0.01156922658993683']",1,FN,"['3.935165599301115', '29.95363868812332', '-3.56924816554673']",0.8520380797874416,08/30/18   Time: 10:02 ,2.062144629586203,Least Squares,0.8538100788319034,2017Q4,1976Q1,0.006604001196849979,481.834390092032,1.275522525671469e-69,,,,,,,,,,
167,phr,Behavioral,Wages and Prices,"Price index for residential investment, cw (relative to PXP)",,"log(phr) - phr_aerr - log(phr(-1)) = y_phr(1) + pipxnc/400 + dpadj - d(log(pxp), 0, 1) ",log(phr) - phr_aerr - log(phr(-1)) = y_phr_1 + pipxnc/400 + dpadj - (log(pxp) - (log(pxp(-1)))) ,"['dpadj', 'pipxnc', 'pxp']",,y_phr(1),0.0,1,OT,,,,,,,,,,,,,,,,,,,,,
168,pic4,Identity,Wages and Prices,Four-quarter percent change in PCE prices,,pic4 - pic4_aerr = 100*(pcnia/pcnia(-4) - 1) ,pic4 - pic4_aerr = 100*(pcnia/pcnia(-4) - 1) ,pcnia,,,,,,,,,,,,,,,,,,,,,,,,,,
169,picnia,Behavioral,Wages and Prices,"Inflation rate, personal consumption expenditures, cw",,"picnia  - picnia_aerr = picxfe
          + y_picnia(1)*400*(log(pcer)-log(pcer(-1)))
          + y_picnia(2)*400*(log(pcfr)-log(pcfr(-1)))","picnia  - picnia_aerr = picxfe
          + y_picnia_1*400*(log(pcer)-log(pcer(-1)))
          + y_picnia_2*400*(log(pcfr)-log(pcfr(-1)))","['pcer', 'pcfr', 'picxfe']",,"['y_picnia(1)', 'y_picnia(2)']","['0.0399', '0.0726']",,,,0.9998459277741218,08/30/18   Time: 09:59 ,0.6756632769321184,Least Squares (Gauss-Newton / Marquardt steps),0.9998844458305912,2017Q4,2016Q4,0.008667770574518556,,,,,,,,,,,,
170,picx4,Identity,Wages and Prices,Four-quarter percent change core in PCE prices,,picx4 - picx4_aerr = 100*(pcxfe/pcxfe(-4) - 1) ,picx4 - picx4_aerr = 100*(pcxfe/pcxfe(-4) - 1) ,pcxfe,,,,,,,,,,,,,,,,,,,,,,,,,,
171,picxfe,Behavioral,Wages and Prices,"Inflation rate, personal consumption expenditures, ex. food and energy, cw"," This is the main price equation in FRB/US.  Its specification is
based on a variant of the New Keynesian Phillips Curve (NKPC) derived
by Cogley and Sbordonne (2008) for the case in which the subset of
prices that is not optimally reset each period is indexed to either
past or trend price inflation.

(1) &Pi;<sub>t</sub> = E<sub>t-1</sub>[&beta;&Pi;<sub>t+1</sub>
       + &kappa;&mu;<sub>t</sub>] + &epsilon;<sub>t</sub>

(2) &Pi;<sub>t</sub> &equiv; &pi;<sub>t</sub> -
       &gamma;&pi;^<sub>t</sub> - (1-&gamma;)&pi;*<sub>t</sub>

(3) &pi;^<sub>t</sub>  &equiv; &pi;<sub>t-1</sub>

 Equation 1 is the basic NKPC expressed in terms of the composite
variable &Pi;, which is defined in equation 2 as the difference
between actual inflation (&pi;) and a weighted average of past (&pi;^)
and trend (&pi;*) inflation.  Expectations are formed on the basis of
""t-1"" information, &beta;(=.98) is the discount factor, and &mu; is
the price markup gap.

 Past inflation is measured as the first lag (equation 3).
Trend price inflation is measured using survey data on ten-year
inflation expectations (PTR).  The price markup gap
(log(QPCNIA/PCNIA)) is measured using a set of relationships that, if
linearized, would set it equal to a weighted average of the detrended
labor share in the nonfarm business sector, the relative price of
nonoil imports, and a few additional but minor terms.  For purposes of
simplicity, the markup gap enters as a t-1 observation rather than the
t-1 expectation of the observation in period t.

 The unemployment rate does not directly appear in the structural price
equation.  The sensitivity of price inflation to the unemployment rate
is indirect and operates through the effect that the structural dependence
of wage inflation (PIECI) on labor market conditions has on the expectation
of PICXFE in period t+1 (ZPICXFE).

 The PICXFE equation, which is estimated simultaneously with the
equation for the rate of growth of the ECI measure of hourly
compensation (PIECI), contains two estimated
parameters.  &gamma; is the fraction of non-optimized prices
that is indexed to past inflation, and &kappa; is the
response of inflation to the price markup gap.

More information on the estimation of the price-wage NKPC
equations is available <a href=""price_wage_sector_083013.pdf"">here</a>.

","picxfe - picxfe_aerr = (y_picxfe(1)*picxfe(-1)
                     + y_picxfe(3)*zpicxfe
                     + (1-y_picxfe(3))*(1-y_picxfe(1))*ptr(-1)
                     + y_picxfe(2)*400*log(qpcnia(-1)/pcnia(-1))) / (1+y_picxfe(1)*y_picxfe(3))
","picxfe - picxfe_aerr = (y_picxfe_1*picxfe(-1)
                     + y_picxfe_3*zpicxfe
                     + (1-y_picxfe_3)*(1-y_picxfe_1)*ptr(-1)
                     + y_picxfe_2*400*log(qpcnia(-1)/pcnia(-1))) / (1+y_picxfe_1*y_picxfe_3)
","['pcnia', 'picxfe', 'ptr', 'qpcnia', 'zpicxfe']",,"['y_picxfe(1)', 'y_picxfe(2)', 'y_picxfe(3)']","['0.671147437396', '0.00191485982247', '0.98']",1,PR,,,,,,,-,1988q1,,,,2017,,,,,,,,,
